Rowname	Mutation_Status	Drug	CellLine	SensitivityWithQuartileThreshold	GI50	ContinousSensitivity	AKT308	AKT473	ATF2	AXL	bCATENIN	CHK1	CHK2	cJUN	cKIT	cMET	cRAF	EGFR	ERK/MAPK	FAK	FGFR1	FGFR2	FGFR3	FLT3	GSK3a	GSK3B	HER2	HER3	HER4	HSP27	HSP27(total)	IGF1R	IGF1R (pan TYR)	IR	IR (pan TYR)	IRS1	JAK1	JNK	LCK	MEK1	MSK1	mTOR	NFkB	p38	p53	p70S6K	PDGFRa	PDGFRb	PRAS40	PTEN	Rb	RET	RPS6	SRC	STAT1	STAT3	STAT5A/B	TSC2	VEGFR2
AUY922_A549	KRAS_mutant	AUY922 	A549	NotSensitive	12.95	0.183427762	1.723377885	1.382586569	0.525571404	0.280380138	0.198916011	0.448765388	0.494293427	0.2696198	0.257125578	0.714737586	0.404213181	0.203076429	-0.319008458	0.303954201	0.323891535	0.468447473	0.382061063	0.485731519	0.415324732	0.254693972	0.589512651	0.004904578	0.165542027	-0.099773126	0.095462992	0.436964218	0.154980335	-0.046345167	0.22479969	-0.520089854	0.312262531	0.068680488	0.108029156	-0.052967845	-0.272935942	0.168563026	0.133898148	0.01861665	0.243241701	0.254140518	-0.365550576	0.618492534	0.325483976	0.393594577	0.50442167	0.477841421	-0.884452906	-0.317667977	0.053359689	0.096103184	0.096103183	0.35392792	0.030612447
AUY922_CORL105	Wild_type	AUY922 	CORL105	Sensitive	2.65	0.037535411	1.692593839	1.174549551	0.223667608	0.20158063	0.248734073	0.291225731	0.190941397	-0.232839735	-0.040194657	0.036550166	0.264029514	-0.092122449	-0.111626148	0.40345031	0.236359901	0.409676499	0.270561095	-0.179290267	0.173076374	0.361605159	0.417388537	0.132998058	0.43785264	0.927725372	0.054333888	-0.41464215	0.453794184	-0.190107266	0.331622314	0.824321557	0.025091134	-0.004151907	0.192390864	0.815270658	0.880309429	-0.209824635	0.07528256	0.429225463	-0.034492297	-0.008133448	0.002637259	-0.027213593	0.196578497	-0.088095597	-0.263270805	0.299785728	-0.045362413	0.205679198	-0.00217358	-0.273952881	-0.026717153	-0.092732851	0.235747233
AUY922_H1373	KRAS_mutant	AUY922 	H1373	NotSensitive	12.87	0.182294618	0.063955908	-0.261689031	0.343908558	0.348465184	0.229828759	0.24094818	0.172882944	0.538427482	0.258412338	0.088166282	0.164388499	-0.049392916	-0.288159819	0.109672992	0.069486841	0.291462304	0.230630051	-0.515685689	-1.031586331	-0.901210032	1.073646179	0.266393493	0.378733412	0.159386721	0.00709998	-0.090355934	0.110814423	-0.376142255	0.422141074	-1.125304349	0.62470937	-0.084881826	0.261480522	-1.11857678	-0.729700996	-0.286073888	-0.177316396	-0.883798514	0.205598283	-0.150494151	-0.250284268	0.033508697	0.914218288	-0.251487461	0.088860399	0.170395377	-0.210226285	-0.212316418	0.099487459	-0.11611903	0.355863562	-0.923411199	-0.329428153
AUY922_H1437	Wild_type	AUY922 	H1437	NotSensitive	27.57	0.390509915	0.033780165	-1.139547311	-0.596475164	-0.272232671	-0.665472601	-0.851989656	-0.478690943	-0.546341731	-0.292129476	-0.788997056	-0.54289262	-1.217145089	-0.81546378	-0.125577015	-0.03209072	-0.053303052	-0.418936306	-1.11052267	-1.790308716	-2.28818332	-0.97446112	-0.230261914	-0.842326558	-0.166491482	-1.422982444	-1.517147929	-1.127523022	-0.907192496	-0.333559008	-1.562092171	-0.858764498	-0.053037175	-0.302815484	-0.670547268	-0.905937978	-2.021914658	-1.410327953	-0.743273069	-0.42987222	-0.552752522	0.421554251	-1.191442665	-1.304516469	-2.146095284	-0.485348248	-0.389199026	-1.208994334	-0.706712426	-0.571826703	-0.228272206	-0.298369579	-1.466720667	-0.574630776
AUY922_H1563	Wild_type	AUY922 	H1563	NotSensitive	20.03	0.283711048	-0.708120494	-0.38551266	0.096123685	-0.066324532	-0.009997105	-0.159922943	0.053924182	0.116223159	-0.049585734	-0.160617046	-0.143034077	-2.296330077	-2.681703526	-0.14053689	-0.313180084	-0.091028993	-0.145089653	-0.145722831	-3.322705752	-2.075452893	-0.842300205	-0.448681689	-0.073548977	-1.548518415	-0.090322051	-0.096891449	-0.409687557	-0.340298591	-0.688129275	-0.703204595	-0.157825797	-0.314934005	-2.99E-05	-3.227197997	-1.137533433	-0.140718967	-0.041318118	-0.284764855	0.310310211	-0.594458947	-0.384769926	0.328631492	-0.617985381	-2.295826119	0.036524855	-0.193556965	-1.010941021	-0.026611619	0.041016815	-0.104874494	0.407649165	-1.843037591	0.001694771
AUY922_H1568	Wild_type	AUY922 	H1568	Sensitive	6.63	0.093909348	0.14184401	-0.240769116	0.658481779	-0.520294071	-0.166181815	-0.117060019	-0.095259928	0.664829362	-0.146817497	-1.05301198	-0.020722533	-0.974142723	-0.579733473	-0.195360877	-0.287360567	-0.232796643	-0.218895989	0.016368503	-1.137463695	-0.79649036	-0.461592936	-0.328985441	-0.044051553	-0.524966231	-0.161788987	-0.473677295	-0.181780516	-0.284131205	-0.359200054	-0.025568523	-0.462382046	0.054079669	-0.19386851	-1.569470455	-0.345844091	-0.669512662	-0.0371282	-0.106593019	-0.109558478	-1.666313629	-0.59503646	0.118245063	-0.71463463	-0.720781169	-0.032020751	-0.201057703	-3.577366309	-0.422094845	0.221211642	0.174216088	-0.151984922	-1.69155552	0.24315302
AUY922_H1650	EGFR_mutant	AUY922 	H1650	NotSensitive	9.85	0.139518414	0.260263826	0.297996866	0.322822038	-0.151576125	0.101244468	0.123728482	-0.096052693	0.440507174	-0.264883431	0.053938754	-0.009582519	0.64919016	-0.29899603	-0.173859083	0.01310635	-0.007055147	0.046182641	0.296640157	1.119822296	1.011809384	0.527509223	-0.126422895	-0.546453788	0.110894638	0.136471382	-0.024286414	0.241422126	0.183706628	-0.045112062	0.558302782	-0.674347264	0.086294127	-0.061103126	0.503903836	0.005029153	0.431200987	0.150154069	0.114572	0.128211516	0.1298733	0.03016137	0.246921924	0.124007887	0.113628193	0.185742485	0.01904633	-0.349803567	0.061716104	-0.232656268	-0.072784932	0.450048269	0.882834171	0.18197574
AUY922_H1693	Wild_type	AUY922 	H1693	Sensitive	8.12	0.115014164	-0.021315175	-0.118280118	-0.200725574	-0.176642495	-0.088431625	-0.17936842	-0.242159731	-0.193829955	-0.356892223	-0.100792272	-0.217106475	0.305073794	1.2097067	0.098416665	-0.032963799	-0.101743708	-0.135715403	0.420761578	0.702961876	0.200102123	0.399862053	-0.989841127	-0.058948768	0.145411482	-0.124312584	-0.026877567	-0.141589227	-0.050382605	-0.350477383	-0.071907164	-0.176063787	0.397860124	-0.142584531	0.795176982	0.413764982	0.0184368	-0.134812988	0.133397842	0.228266338	0.085558306	-0.559700869	-0.825314966	-0.318741487	0.232847469	-0.082525405	-0.192215299	-0.018040825	-0.040212206	-0.007790729	-0.314431846	0.00309502	-0.019429097	-0.149146577
AUY922_H1734	KRAS_mutant	AUY922 	H1734	NotSensitive	9.26	0.131161473	-0.380307448	0.276781745	0.151095474	-0.268345384	0.108114682	0.089222388	-0.135173499	-0.36811144	-0.540115331	-0.724445141	-0.048244774	-0.470922764	0.692564234	-0.356472644	0.057657302	-0.229919288	-0.186869317	-0.232331419	0.092494774	-0.229874373	-0.431483655	-0.98196866	-0.992236996	0.951293654	-0.105530601	-0.629666916	-1.615660058	0.041225763	-0.629666916	-0.186653844	-0.083358973	0.331756052	-0.325724567	0.825224818	0.312230129	-0.056578516	-0.469866132	0.228882054	-0.099417446	-0.368014308	-0.044704416	-0.741869002	0.123072624	-0.134980641	0.282557124	-0.413448262	-0.502706005	-0.194151804	-0.162842614	0.073558466	0.21832999	-0.388806008	-0.330106634
AUY922_H1755	BRAF_mutant	AUY922 	H1755	Sensitive	6.9	0.097733711	0.14176415	0.121792765	0.013856481	0.373271836	0.281364068	0.385217917	0.335299991	-0.225828685	0.196770186	0.421382992	0.184096355	0.359000796	-0.113987591	0.51620471	0.040961876	0.397357765	0.311764929	-0.31161779	0.117444225	-0.168357219	-0.361560366	-0.069403928	0.224570106	0.199592036	-0.050869158	0.491524881	-1.227666011	0.158055921	-0.041252887	-0.248496338	0.132365787	0.242150089	-0.425346679	0.034316284	-0.026968661	-0.080311778	-0.591983753	-0.009802064	0.04377589	-0.824026345	-0.21569337	-0.224116945	-0.0003581	-0.082667692	0.180680285	-0.179745382	-0.62280997	0.010661882	-0.101784408	-0.339924536	-0.071161526	-0.465049247	-0.448354127
