CellLine,ContinousSensitivity,Mutation_Status,Drug,AKT308,AKT473,ATF2,AXL,bCATENIN,CHK1,CHK2,cJUN,cKIT,cMET,cRAF,EGFR,ERK_MAPK,FAK,FGFR1,FGFR2,FGFR3,FLT3,GSK3a,GSK3B,HER2,HER3,HER4,HSP27,HSP27_total,IGF1R,IGF1R_panTYR,IR,IR_panTYR,IRS1,JAK1,JNK,LCK,MEK1,MSK1,mTOR,NFkB,p38,p53,p70S6K,PDGFRa,PDGFRb,PRAS40,PTEN,Rb,RET,RPS6,SRC,STAT1,STAT3,STAT5A_B,TSC2,VEGFR2
A549,0.183427762,KRAS_mutant,AUY922 ,1.723377885,1.382586569,0,0.280380138,0.198916011,0.448765388,0.494293427,0,0,0.714737586,0.404213181,0,0,0.303954201,0.323891535,0.468447473,0.382061063,0.485731519,0,0,0.589512651,0,0,0,0.095462992,0.436964218,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254140518,0,0,0.325483976,0,0.50442167,0.477841421,-0.884452906,0,0,0.096103184,0,0,0
CORL105,0.037535411,Wild_type,AUY922 ,1.692593839,1.174549551,0.223667608,0.20158063,0.248734073,0.291225731,0.190941397,-0.232839735,0,0,0.264029514,0,0,0.40345031,0.236359901,0.409676499,0.270561095,0,0.173076374,0.361605159,0,0,0.43785264,0.927725372,0,0,0.453794184,0,0,0.824321557,0,0,0,0.815270658,0.880309429,-0.209824635,0,0.429225463,0,0,0,0,0,0,-0.263270805,0.299785728,0,0,0,0,0,0,0
H1373,0.182294618,KRAS_mutant,AUY922 ,0,0,0.343908558,0.348465184,0,0,0.172882944,0.538427482,0.258412338,0,0,0,0,0.109672992,0.069486841,0.291462304,0,-0.515685689,-1.031586331,-0.901210032,1.073646179,0,0.378733412,0,0,0,0,-0.376142255,0,-1.125304349,0.62470937,0,0.261480522,0,0,0,0,0,0,0,-0.250284268,0,0.914218288,-0.251487461,0.088860399,0,0,0,0,-0.11611903,0,-0.923411199,-0.329428153
H1437,0.390509915,Wild_type,AUY922 ,0,0,-0.596475164,-0.272232671,-0.665472601,-0.851989656,-0.478690943,0,-0.292129476,-0.788997056,-0.54289262,-1.217145089,-0.81546378,0,0,0,-0.418936306,-1.11052267,0,0,-0.97446112,0,-0.842326558,0,-1.422982444,-1.517147929,-1.127523022,-0.907192496,0,-1.562092171,0,0,0,-0.670547268,0,0,-1.410327953,-0.743273069,-0.42987222,-0.552752522,0.421554251,-1.191442665,-1.304516469,0,0,-0.389199026,0,-0.706712426,-0.571826703,-0.228272206,-0.298369579,-1.466720667,0
H1563,0.283711048,Wild_type,AUY922 ,-0.708120494,0,0,-0.066324532,0,0,0,0,0,0,0,-2.296330077,0,0,-0.313180084,0,0,0,0,0,-0.842300205,-0.448681689,0,0,-0.090322051,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310310211,-0.594458947,0,0.328631492,-0.617985381,0,0,0,-1.010941021,0,0,0,0.407649165,-1.843037591,0
H1568,0.093909348,Wild_type,AUY922 ,0,0,0.658481779,-0.520294071,-0.166181815,0,-0.095259928,0,-0.146817497,-1.05301198,0,-0.974142723,-0.579733473,0,-0.287360567,-0.232796643,0,0,-1.137463695,-0.79649036,0,0,0,-0.524966231,-0.161788987,0,0,0,0,0,-0.462382046,0,-0.19386851,-1.569470455,0,-0.669512662,0,0,0,-1.666313629,-0.59503646,0,-0.71463463,-0.720781169,0,0,-3.577366309,-0.422094845,0.221211642,0,0,-1.69155552,0.24315302
H1650,0.139518414,EGFR_mutant,AUY922 ,0,0,0,0,0,0,-0.096052693,0,0,0,0,0.64919016,-0.29899603,0,0,0,0,0.296640157,1.119822296,1.011809384,0.527509223,0,0,0,0.136471382,0,0,0,0,0.558302782,0,0,0,0.503903836,0,0.431200987,0,0.114572,0.128211516,0,0,0,0.124007887,0,0.185742485,0,0,0,0,0,0.450048269,0.882834171,0
H1693,0.115014164,Wild_type,AUY922 ,0,0,0,-0.176642495,0,-0.17936842,-0.242159731,-0.193829955,-0.356892223,0,-0.217106475,0,1.2097067,0,0,-0.101743708,0,0.420761578,0.702961876,0,0,-0.989841127,0,0,-0.124312584,0,0,0,-0.350477383,0,0,0,-0.142584531,0,0.413764982,0,0,0,0,0,-0.559700869,-0.825314966,0,0,0,-0.192215299,0,0,0,0,0,0,-0.149146577
H1734,0.131161473,KRAS_mutant,AUY922 ,0,0.276781745,0,0,0,0.089222388,-0.135173499,0,0,0,0,0,0.692564234,-0.356472644,0,-0.229919288,0,0,0,0,0,0,-0.992236996,0.951293654,-0.105530601,-0.629666916,0,0,0,0,0,0.331756052,-0.325724567,0.825224818,0,0,0,0.228882054,0,0,0,-0.741869002,0,0,0.282557124,-0.413448262,-0.502706005,-0.194151804,0,0,0.21832999,0,0
H1755,0.097733711,BRAF_mutant,AUY922 ,0,0,0,0,0,0,0,-0.225828685,0,0,0,0,0,0,0,0,0,-0.31161779,0,0,0,0,0,0,0,0.491524881,-1.227666011,0.158055921,0,0,0,0.242150089,0,0,0,0,-0.591983753,0,0,-0.824026345,0,0,0,-0.082667692,0,0,-0.62280997,0,-0.101784408,-0.339924536,-0.071161526,0,0
H1781,0.079745042,Wild_type,AUY922 ,0,-0.394302566,0.299686582,0,0,0,-0.117620581,0,0,0,0,0,0,0.11474413,0,0,0,0,0,0,0,0,0,0.742259097,-0.229662361,-0.335028954,0,0,0,-0.084904306,0,0.311018846,0,0.157850621,0.475652882,0,0,0,0.665790673,-0.521457635,0,-0.44882649,0,0,-0.235631686,0.172798031,-0.2598505,-0.288800384,-0.095564895,0,0.281840683,0,0
H1792,0.105240793,KRAS_mutant,AUY922 ,-0.430001254,-0.775809355,0,0,0.327536666,0,0,0,0.059156571,0,0.188814138,0,0,0,0.195419309,0,0.217678296,0,0,0,0.446272643,0,0,0,0,0,0,-0.136204595,0.369616104,0,0.258782231,-0.298572245,0,0,0,0,-0.378360271,-0.958297858,-0.481879458,0,0,0.66158284,0.572738047,-0.802793205,0,0,-0.991817641,-0.472348296,0,0,-0.208014598,0,0
