SampleType	SampleID	Drug	AKT308	AKT473	ATF2	AXL	bCATENIN	CHK1	CHK2	cJUN	cKIT	cMET	cRAF	EGFR	ERK/MAPK	FAK	FGFR1	FGFR2	FGFR3	FLT3	GSK3a	GSK3B	HER2	HER3	HER4	HSP27	HSP27(total)	IGF1R	IGF1R (pan TYR)	IR	IR (pan TYR)	IRS1	JAK1	JNK	LCK	MEK1	MSK1	mTOR	NFkB	p38	p53	p70S6K	PDGFRa	PDGFRb	PRAS40	PTEN	Rb	RET	RPS6	SRC	STAT1	STAT3	STAT5A/B	TSC2	VEGFR2
Patient	PSC049B	AZD5363	3.452309174	3.824809874	-1.326489112	0	0.16966783	0.340175954	0.126103764	-1.949634354	0.727199077	0	0.190958237	0	0	0	0	0.238758957	0	0	0	0	0	0	-0.41877217	0	0.179470018	0.479474332	0.468186524	0	0	0.75261379	0	0	0.159831455	-0.941053842	-0.427760953	0	0	0	-1.172953231	1.141206983	0	0	0	0.538603997	0.397802394	0	0	0.357129087	-1.095610475	0	0	0	0
Patient	PSC049B	GDC0941	0	-0.396983905	0.537757875	0.282144733	-0.562267047	0.370475718	0.135278501	0.768281087	0.341906566	0.39322371	0.132643613	0	-0.332554583	0	0.381801864	0.511667148	0.403696887	0	1.690827339	0.564848936	0	0	-0.775495529	0	-0.106661736	0	0	0	0	0	0	0.718772121	0.668458569	0.201332322	0.313547771	0	0	0.426693322	0	0	0	0	0.899107597	0.410837087	-0.227117076	0.493557202	0	0	0	0	0.319517586	0.693059655	0
Patient	PSC049B	Gefitinib	0	0.374212048	-0.896500234	0	-0.696375438	0	0.060429697	-0.884083668	0.460313205	0	0	0	0	0	0	0	0	0	-1.191967767	-0.663576201	0	0	0	0	-1.421278462	0.254536642	0.439431376	-0.667556601	0	0	0	-0.566088962	0	-0.828482093	-0.447751356	0	0	0	0	0	0	0	0	-1.841213542	-1.799654559	0	-1.18020036	-0.760893399	-0.410865308	-0.305589731	0	-1.164594536	0
Patient	PSC049B	Trametinib	0	0.369600728	0	0	0	-0.213436896	-0.059027828	0	0	-0.425154157	0	-0.882572685	-0.431040369	0	0	0	0	0	-0.75024065	0	0	0	0	0	0.086802344	0.354999178	0	-0.335593051	0	0.698818859	0	-0.631780833	-0.351553159	-0.174483387	-0.374043489	0.465289678	0	0	0	1.734290081	0	-1.025377676	0	-0.948716113	0	0	0	0.47027283	0	-0.337133379	-0.376604531	0	-0.449249833
Patient	PSC049B	Everolimus	0	0	0	1.865773038	1.28563309	1.348284566	0.946272488	0	0	0.457611666	0.553602024	0	1.351932674	0	2.01577194	2.059743677	1.673033612	0	-1.338266308	0	0	0	-0.622931762	0	0	0	0	-0.494307079	0	0	0.605411846	0	1.359629201	-0.401295655	0	0.811899607	0	0	0	0	0	0	0	0	1.567101197	1.422281269	0	0	0	0	0	0.521944315	-0.674705411
Patient	PSC051B	AZD5363	0.905536442	0	0	1.336417446	0.411017596	1.243578005	0.622562576	0	0	0	1.627972024	0	0.362827907	0.702257744	1.039947067	0.837113422	0.833344356	0	0	-0.291605447	0	1.142339306	0	0	0	-0.199723346	0	0	0	0	1.016271304	0	1.144231055	0	0	0	0	0	0	0	0	0.545347298	0	-1.339429458	0	1.015364275	0	-0.205436997	0	0	0	0	0.619313381
Patient	PSC051B	GDC0941	0	0.40160537	0	0	0	0	0.331552401	0.521155924	0	0	0	0.513250726	0.483763961	0	-0.66211636	0	0	0	0	-0.352038965	0	0	0	0	0	0.437699693	0.690128488	0	0.771048483	0.55389271	0	0.284225212	0	0	0.654294607	0	0	0.537018892	0.576815855	0	1.068465883	0	0	-1.108491624	0	-0.592543938	0	0.400621871	0	0.303277564	0.928288225	0	0.679260678
Patient	PSC051B	Gefitinib	0	0	0	0	0	0	0	0	0	0	0	0	0	0.73549096	0	0	0	0	0	-0.305675317	-0.586638279	0	0	0	0	-0.22547502	0	0	0	0	0	0.307892613	0	0	0	0	0	0	0	0	0	0	0	-0.631282194	0	0	0	-0.15689489	0	0	0.277843406	0	0
Patient	PSC051B	Trametinib	0	0	0	0	0	0	0	0	-0.674790469	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.685931026	0	0	0	0	0	-0.678978266	0	0	0.27607171	0	0.797673541	0	0	0	0	0	0	0	0	0	0.3422209	-0.331599216	0	0	-0.576167461	0	-0.394535818	0	0	0
Patient	PSC051B	Everolimus	0	0	0	0	0	0	0.369530874	0	1.561356841	2.010341672	0.733073705	1.623873325	0	0	0	0.459789202	0.547998458	1.414731927	0	0.220226372	1.596952026	2.644369732	1.978077823	0	0.444546675	0	1.772181935	0	1.257608762	0	1.104248807	0.338081768	0.719777748	0.54430127	0	0	0	0	-0.351114787	0	0	1.615482055	1.375975884	0.691711168	0	0.476909472	0.447932528	-0.424215278	0	-0.313666733	0	0.604581987	1.684008398
