Method	Bliss	Rank
totalperturbation	0	14
totalperturbation	0	19
totalperturbation	0	18
totalperturbation	0	7
totalperturbation	0	8
totalperturbation	0	10
totalperturbation	0	5
totalperturbation	0	16
totalperturbation	0.01	19
totalperturbation	0.01	6
totalperturbation	0.01	5
totalperturbation	0.02	4
totalperturbation	0.02	17
totalperturbation	0.03	6
totalperturbation	0.03	12
totalperturbation	0.03	7
totalperturbation	0.03	6
totalperturbation	0.03	5
totalperturbation	0.03	18
totalperturbation	0.04	13
totalperturbation	0.04	11
totalperturbation	0.04	16
totalperturbation	0.05	21
totalperturbation	0.06	4
totalperturbation	0.06	10
totalperturbation	0.07	18
totalperturbation	0.07	14
totalperturbation	0.07	6
totalperturbation	0.08	11
totalperturbation	0.08	2
totalperturbation	0.08	2
totalperturbation	0.08	6
totalperturbation	0.09	11
totalperturbation	0.09	5
totalperturbation	0.09	4
totalperturbation	0.09	7
totalperturbation	0.09	6
totalperturbation	0.09	2
totalperturbation	0.09	2
totalperturbation	0.09	11
totalperturbation	0.1	8
totalperturbation	0.1	13
totalperturbation	0.1	1
totalperturbation	0.1	4
totalperturbation	0.1	4
totalperturbation	0.1	5
totalperturbation	0.1	15
totalperturbation	0.1	5
totalperturbation	0.1	4
totalperturbation	0.1	8
totalperturbation	0.1	3
totalperturbation	0.1	3
totalperturbation	0.1	2
totalperturbation	0.1	17
totalperturbation	0.11	8
totalperturbation	0.11	10
totalperturbation	0.12	2
totalperturbation	0.12	4
totalperturbation	0.12	3
totalperturbation	0.12	8
totalperturbation	0.14	7
totalperturbation	0.14	16
totalperturbation	0.14	1
totalperturbation	0.14	2
totalperturbation	0.15	5
totalperturbation	0.15	4
totalperturbation	0.15	17
totalperturbation	0.16	13
totalperturbation	0.16	7
totalperturbation	0.16	5
totalperturbation	0.16	3
totalperturbation	0.16	5
totalperturbation	0.17	1
totalperturbation	0.18	4
totalperturbation	0.18	5
totalperturbation	0.18	18
totalperturbation	0.19	4
totalperturbation	0.19	3
totalperturbation	0.19	1
totalperturbation	0.19	10
totalperturbation	0.2	5
totalperturbation	0.2	23
totalperturbation	0.2	2
totalperturbation	0.2	2
totalperturbation	0.2	2
totalperturbation	0.2	2
totalperturbation	0.2	6
totalperturbation	0.2	3
totalperturbation	0.2	13
totalperturbation	0.2	8
totalperturbation	0.2	9
totalperturbation	0.2	3
totalperturbation	0.2	4
totalperturbation	0.2	14
totalperturbation	0.2	10
totalperturbation	0.2	2
totalperturbation	0.2	5
totalperturbation	0.2	18
totalperturbation	0.2	3
totalperturbation	0.2	7
totalperturbation	0.2	5
totalperturbation	0.2	4
totalperturbation	0.2	9
totalperturbation	0.2	8
totalperturbation	0.2	5
totalperturbation	0.21	4
totalperturbation	0.21	4
totalperturbation	0.22	4
totalperturbation	0.22	6
totalperturbation	0.22	1
totalperturbation	0.24	4
totalperturbation	0.24	5
totalperturbation	0.24	6
totalperturbation	0.24	16
totalperturbation	0.24	10
totalperturbation	0.24	8
totalperturbation	0.24	3
totalperturbation	0.24	2
totalperturbation	0.24	7
totalperturbation	0.25	6
totalperturbation	0.25	24
totalperturbation	0.27	23
totalperturbation	0.27	4
totalperturbation	0.27	6
totalperturbation	0.27	9
totalperturbation	0.27	1
totalperturbation	0.28	5
totalperturbation	0.28	6
totalperturbation	0.28	8
totalperturbation	0.28	4
totalperturbation	0.28	3
totalperturbation	0.28	19
totalperturbation	0.28	2
totalperturbation	0.29	2
totalperturbation	0.29	1
totalperturbation	0.29	2
totalperturbation	0.3	6
totalperturbation	0.3	5
totalperturbation	0.3	7
totalperturbation	0.3	5
totalperturbation	0.3	17
totalperturbation	0.3	2
totalperturbation	0.3	6
totalperturbation	0.3	7
totalperturbation	0.3	6
totalperturbation	0.32	4
totalperturbation	0.32	4
totalperturbation	0.32	4
totalperturbation	0.32	2
totalperturbation	0.33	4
totalperturbation	0.35	3
totalperturbation	0.35	2
totalperturbation	0.35	12
totalperturbation	0.38	21
totalperturbation	0.39	6
totalperturbation	0.39	4
totalperturbation	0.39	8
totalperturbation	0.4	10
totalperturbation	0.4	18
totalperturbation	0.42	3
totalperturbation	0.44	5
totalperturbation	0.44	16
totalperturbation	0.49	3
totalperturbation	0.49	3
totalperturbation	0.49	14
totalperturbation	0.6	3
totalperturbation	0.6	2
totalperturbation	0.6	14
